permno,hdrcusip,permco,siccd,nasdissuno,yyyymmdd,sharetype,securitytype,securitysubtype,usincflg,issuertype,primaryexch,conditionaltype,tradingstatusflg,dlycaldt,dlydelflg,dlyprc,dlyprcflg,dlycap,dlycapflg,dlyprevprc,dlyprevprcflg,dlyprevdt,dlyprevcap,dlyprevcapflg,dlyret,dlyretx,dlyreti,dlyretmissflg,dlyretdurflg,dlyorddivamt,dlynonorddivamt,dlyfacprc,dlydistretflg,dlyvol,dlyclose,dlylow,dlyhigh,dlybid,dlyask,dlyopen,dlynumtrd,dlymmcnt,dlyprcvol,dlycumfacpr,dlycumfacshr,cusip,ticker,exchangetier,shrout
84398,78462F10,46699,6726,0,20090618,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-18,N,92.219,TR,64995029.01,BP,91.55,TR,2009-06-17,64523524.5,PB,0.007307,0.007307,0.0,NA,D1,0.0,0.0,1.0,NO,211725100.0,92.219,91.25,92.67,92.15,92.11,91.69,,,19525076996.9,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090619,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-19,N,92.04,TR,64868871.6,BP,92.219,TR,2009-06-18,64995029.01,PB,0.003678,-0.001941,0.005619,NA,D1,0.51819,0.0,1.0,C1,215655600.0,92.04,91.52,92.7,91.99,92.0,92.58,,,19848941424.0,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090622,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-22,N,89.28,TR,62923651.2,BP,92.04,TR,2009-06-19,64868871.6,PB,-0.029987,-0.029987,0.0,NA,D3,0.0,0.0,1.0,NO,251913600.0,89.28,89.25,91.19,89.27,89.27,91.14,,,22490846208.0,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090623,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-23,N,89.35,TR,62972986.5,BP,89.28,TR,2009-06-22,62923651.2,PB,0.000784,0.000784,0.0,NA,D1,0.0,0.0,1.0,NO,188309700.0,89.35,88.85,89.88,89.37,89.38,89.47,,,16825471695.0,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090624,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-24,N,90.118,TR,63514265.22,BP,89.35,TR,2009-06-23,62972986.5,PB,0.008595,0.008595,0.0,NA,D1,0.0,0.0,1.0,NO,211577600.0,90.118,89.6,91.08,90.11,90.12,90.16,,,19066950156.8,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090625,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-25,N,92.08,TR,64897063.2,BP,90.118,TR,2009-06-24,63514265.22,PB,0.021772,0.021772,0.0,NA,D1,0.0,0.0,1.0,NO,279410900.0,92.08,89.57,92.17,92.08,92.08,89.67,,,25728155672.0,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090626,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-26,N,91.84,TR,64727913.6,BP,92.08,TR,2009-06-25,64897063.2,PB,-0.002606,-0.002606,0.0,NA,D1,0.0,0.0,1.0,NO,167579000.0,91.84,91.27,92.24,91.79,91.8,91.77,,,15390455360.0,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090629,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-29,N,92.7,TR,65334033.0,BP,91.84,TR,2009-06-26,64727913.6,PB,0.009364,0.009364,0.0,NA,D3,0.0,0.0,1.0,NO,168481200.0,92.7,91.6,92.82,92.7,92.71,92.11,,,15618207240.0,1.0,1.0,78462F10,SPY,N/A,704790
84398,78462F10,46699,6726,0,20090630,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-06-30,N,91.95,TR,64065243.0,BP,92.7,TR,2009-06-29,65334033.0,PB,-0.008091,-0.008091,0.0,NA,D1,0.0,0.0,1.0,NO,228888200.0,91.95,91.27,93.06,92.05,92.05,92.72,,,21046269990.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090701,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-01,N,92.33,TR,64330004.2,BP,91.95,TR,2009-06-30,64065243.0,PB,0.004133,0.004133,0.0,NA,D1,0.0,0.0,1.0,NO,173041100.0,92.33,92.21,93.23,92.33,92.34,92.34,,,15976884763.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090702,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-02,N,89.81,TR,62574219.4,BP,92.33,TR,2009-07-01,64330004.2,PB,-0.027293,-0.027293,0.0,NA,D1,0.0,0.0,1.0,NO,212309800.0,89.81,89.76,92.3624,89.82,89.82,91.13,,,19067543138.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090706,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-06,N,89.8,TR,62567252.0,BP,89.81,TR,2009-07-02,62574219.4,PB,-0.000111,-0.000111,0.0,NA,D4,0.0,0.0,1.0,NO,174499600.0,89.8,88.66,89.93,89.83,89.81,88.94,,,15670064080.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090707,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-07,N,88.06,TR,61354924.4,BP,89.8,TR,2009-07-06,62567252.0,PB,-0.019376,-0.019376,0.0,NA,D1,0.0,0.0,1.0,NO,197088900.0,88.06,88.0,89.82,88.06,88.07,89.71,,,17355648534.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090708,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-08,N,88.0,TR,61313120.0,BP,88.06,TR,2009-07-07,61354924.4,PB,-0.000681,-0.000681,0.0,NA,D1,0.0,0.0,1.0,NO,248050500.0,88.0,87.0,88.8,88.04,88.04,88.59,,,21828444000.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090709,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-09,N,88.17,TR,61431565.8,BP,88.0,TR,2009-07-08,61313120.0,PB,0.001932,0.001932,0.0,NA,D1,0.0,0.0,1.0,NO,163777600.0,88.17,87.91,88.9,88.19,88.19,88.61,,,14440270992.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090710,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-10,N,87.96,TR,61285250.4,BP,88.17,TR,2009-07-09,61431565.8,PB,-0.002382,-0.002382,0.0,NA,D1,0.0,0.0,1.0,NO,173520200.0,87.96,87.35,88.49,87.95,87.94,87.7,,,15262836792.0,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090713,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-13,N,90.102,TR,62777667.48,BP,87.96,TR,2009-07-10,61285250.4,PB,0.024352,0.024352,0.0,NA,D3,0.0,0.0,1.0,NO,217413400.0,90.102,87.59,90.17,90.12,90.13,88.31,,,19589382166.8,1.0,1.0,78462F10,SPY,N/A,696740
84398,78462F10,46699,6726,0,20090714,NS,FUND,ETF,Y,ACOR,R,RW,A,2009-07-14,N,90.61,TR,63131611.4,BP,90.102,TR,2009-07-13,62777667.48,PB,0.005638,0.005638,0.0,NA,D1,0.0,0.0,1.0,NO,181555400.0,90.61,89.73,90.69,90.66,90.66,90.38,,,16450734794.0,1.0,1.0,78462F10,SPY,N/A,696740
