date,open,high,low,close,volume,divCash,splitFactor
2019-01-02,245.98,251.21,245.95,250.18,126925199,0.0,1.0
2019-01-03,248.23,248.57,243.67,244.21,144140692,0.0,1.0
2019-01-04,247.59,253.11,247.17,252.39,142628834,0.0,1.0
2019-01-07,252.69,255.95,251.69,254.38,103139100,0.0,1.0
2019-01-08,256.82,257.31,254.0,256.77,102512587,0.0,1.0
2019-01-09,257.56,258.91,256.19,257.97,95006554,0.0,1.0
2019-01-10,256.26,259.16,255.5,258.88,96823923,0.0,1.0
2019-01-11,257.68,259.01,257.03,258.98,73858110,0.0,1.0
2019-01-14,256.86,258.3,256.41,257.4,70908227,0.0,1.0
2019-01-15,257.82,260.7,257.81,260.35,85208271,0.0,1.0
2019-01-16,260.83,261.97,260.6,260.98,77636710,0.0,1.0
2019-01-17,260.01,263.92,259.96,262.96,96118435,0.0,1.0
2019-01-18,264.98,266.98,263.0,266.46,127900303,0.0,1.0
2019-01-22,264.82,265.06,261.06,262.86,115531183,0.0,1.0
2019-01-23,264.01,264.79,260.66,263.41,86030287,0.0,1.0
2019-01-24,263.21,264.2,262.08,263.55,59204139,0.0,1.0
2019-01-25,265.61,266.7,263.66,265.78,96883358,0.0,1.0
2019-01-28,263.39,263.83,261.79,263.76,85613655,0.0,1.0
2019-01-29,263.92,264.55,262.48,263.41,66136334,0.0,1.0
2019-01-30,265.1,268.52,264.25,267.58,92473671,0.0,1.0
2019-01-31,267.51,270.47,267.27,269.93,104012073,0.0,1.0
2019-02-01,270.15,271.2,269.18,270.06,85782524,0.0,1.0
2019-02-04,270.11,272.03,269.36,271.96,60744844,0.0,1.0
2019-02-05,272.44,273.44,271.88,273.1,79552774,0.0,1.0
2019-02-06,272.79,273.34,271.92,272.74,58347791,0.0,1.0
2019-02-07,270.94,271.55,268.29,270.14,95481961,0.0,1.0
2019-02-08,268.75,270.58,267.83,270.47,75788861,0.0,1.0
2019-02-11,271.2,271.49,270.03,270.62,68021423,0.0,1.0
2019-02-12,272.42,274.52,272.34,274.1,72270221,0.0,1.0
2019-02-13,275.03,275.93,274.56,274.99,65277204,0.0,1.0
2019-02-14,273.78,275.64,272.87,274.38,83234396,0.0,1.0
2019-02-15,276.36,277.41,276.13,277.37,97088659,0.0,1.0
2019-02-19,276.48,278.58,276.47,277.85,59120804,0.0,1.0
2019-02-20,277.81,278.92,277.25,278.41,76610767,0.0,1.0
2019-02-21,277.7,278.1,276.35,277.42,64214727,0.0,1.0
2019-02-22,278.11,279.36,277.4,279.14,78114616,0.0,1.0
2019-02-25,280.73,281.31,279.43,279.52,69030699,0.0,1.0
2019-02-26,279.13,280.3,278.9,279.32,56844101,0.0,1.0
2019-02-27,278.52,279.59,277.48,279.2,56921570,0.0,1.0
